"type","domain","operation","route_name","path","controller"
"web","edit_pdf","update","app_edit_pdf","/edit_pdf","App\Controller\Document\DocumentSignController::editPdf"
"web","edit_recipients_outgoing_document","read","app_edit_recipients_outgoing_document","/edit_recipients_outgoing_document/{id}","App\Controller\Document\DocumentController::editRecipientsDocument"
"web","executors_signature","other","app_executors_signature","/executors_signature","App\Controller\Document\DocumentSignController::executorsSignature"
"web","history_outgoing_documents","read","app_history_outgoing_documents","/history_outgoing_documents","App\Controller\Document\DocumentController::getHistoryOutgoingDocuments"
"web","hr_vacancies","other","app_hr_vacancies","/hr_vacancies","App\Controller\ApiExternal\HR\VacancyController::index"
"web","incoming_document","read","app_history_incoming_document","/incoming_document/{id}/history/{userId}","App\Controller\Document\DocumentController::historyIncomingDocument"
"web","incoming_documents","read","app_incoming_documents","/incoming_documents","App\Controller\Document\DocumentController::getIncomingDocuments"
"web","instruction","other","app_instruction","/instruction","App\Controller\Info\InfoController::index"
"web","instruction","other","app_instruction_video","/instruction/video/{video}","App\Controller\Info\InfoController::viewVideo"
"web","instruction","other","app_instruction_video_file","/instruction/video-file/{video}","App\Controller\Info\InfoController::videoFile"
"web","kanban","delete","app_kanban_board_delete","/kanban/board/{id}/delete","App\Controller\Kanban\ProjectKanbanController::deleteBoard"
"web","kanban","read","app_kanban_board_rename","/kanban/board/{id}/rename","App\Controller\Kanban\ProjectKanbanController::renameBoard"
"web","kanban_board","create","app_kanban_board_create","/kanban_board/create","App\Controller\Kanban\ProjectKanbanController::createBoard"
"web","kanban_board","other","app_kanban_board","/kanban_board/{id}","App\Controller\Kanban\ProjectKanbanController::kanbanBoard"
"web","kanban_create_project","create","app_kanban_create_project","/kanban_create_project","App\Controller\Kanban\ProjectKanbanController::kanbanCreateProject"
"web","kanban_project","create","app_kanban_project_board_create","/kanban_project/{id}/board_create","App\Controller\Kanban\ProjectKanbanController::createBoardInProject"
"web","kanban_project","create","app_kanban_project_create","/kanban_project/create","App\Controller\Kanban\ProjectKanbanController::createProject"
"web","kanban_project","other","app_kanban_project","/kanban_project/{id}","App\Controller\Kanban\ProjectKanbanController::viewProject"
"web","kanban_project","other","app_kanban_project_statistics","/kanban_project/{id}/statistics","App\Controller\Kanban\ProjectKanbanController::projectStatistics"
"web","kanban_project","other","app_kanban_project_statistics_data","/kanban_project/{id}/statistics/data","App\Controller\Kanban\ProjectKanbanController::projectStatisticsData"
"web","kanban_project","read","app_kanban_change_project_member_role","/kanban_project/{id}/change_member_role","App\Controller\Kanban\ProjectKanbanController::changeProjectMemberRole"
"web","kanban_project","read","app_kanban_edit_project_members","/kanban_project/{id}/edit_members","App\Controller\Kanban\ProjectKanbanController::editProjectMembers"
"web","kanban_project","read","app_kanban_remove_project_member","/kanban_project/{id}/remove_member","App\Controller\Kanban\ProjectKanbanController::removeProjectMember"
"web","kanban_project","update","app_kanban_edit_project","/kanban_project/{id}/edit","App\Controller\Kanban\ProjectKanbanController::editProject"
"web","login","other","app_login","/login","App\Controller\Auth\AuthController::login"
"web","logout","delete","app_logout","/logout","App\Controller\Auth\AuthController::logout"
"web","my_files","create","app_my_files_folder_create","/my_files/folder/create","App\Controller\User\UserFileController::createFolder"
"web","my_files","create","app_my_files_upload_single","/my_files/upload-single","App\Controller\User\UserFileController::uploadSingle"
"web","my_files","delete","app_my_files_delete","/my_files/delete/{id}","App\Controller\User\UserFileController::delete"
"web","my_files","delete","app_my_files_folder_delete","/my_files/folder/{id}/delete","App\Controller\User\UserFileController::deleteFolder"
"web","my_files","other","app_my_files","/my_files","App\Controller\User\UserFileController::myFiles"
"web","my_files","other","app_my_files_download","/my_files/download/{id}","App\Controller\User\UserFileController::download"
"web","my_files","other","app_my_files_folder","/my_files/folder/{id}","App\Controller\User\UserFileController::folder"
"web","my_files","other","app_my_files_folder_info","/my_files/folder/{id}/info","App\Controller\User\UserFileController::folderInfo"
"web","my_files","read","app_my_files_file_rename","/my_files/file/{id}/rename","App\Controller\User\UserFileController::renameFile"
"web","my_files","read","app_my_files_folder_rename","/my_files/folder/{id}/rename","App\Controller\User\UserFileController::renameFolder"
"web","my_files","search","app_my_files_search","/my_files/search","App\Controller\User\UserFileController::search"
"web","my_files","update","app_my_files_file_move","/my_files/file/{id}/move","App\Controller\User\UserFileController::moveFile"
"web","my_files","update","app_my_files_folder_move","/my_files/folder/{id}/move","App\Controller\User\UserFileController::moveFolder"
"web","new_document","read","app_new_document","/new_document","App\Controller\Document\DocumentController::index"
"web","notifications","other","app_notifications","/notifications","App\Controller\Notification\NotificationController::index"
"web","organization","other","organization_download_requisites","/organization/{id}/requisites.txt","App\Controller\Organization\OrganizationController::downloadRequisites"
"web","organizations","search","app_organizations_search","/organizations/search","App\Controller\Organization\OrganizationController::searchOrganizations"
"web","outgoing_document","read","app_history_outgoing_document","/outgoing_document/{id}/history/{userId}","App\Controller\Document\DocumentController::historyOutgoingDocument"
"web","outgoing_documents","read","app_outgoing_documents","/outgoing_documents","App\Controller\Document\DocumentController::getOutgoingDocuments"
"web","personal_projects","other","app_kanban_personal_projects","/personal_projects","App\Controller\Kanban\ProjectKanbanController::personalProjects"
"web","posts","other","app_all_posts","/posts","App\Controller\Post\PostController::allPosts"
"web","posts","other","app_post_acknowledge","/posts/{id}/acknowledge","App\Controller\Post\PostController::acknowledgePost"
"web","posts","other","app_post_file_download","/posts/file/{id}/download","App\Controller\Post\PostController::downloadFile"
"web","posts","other","app_all_posts_load_more","/posts/load-more","App\Controller\Post\PostController::loadMorePosts"
"web","posts","read","app_post_add_comment","/posts/{id}/comment","App\Controller\Post\PostController::addComment"
"web","posts","read","app_post_load_comments","/posts/{id}/comments","App\Controller\Post\PostController::loadComments"
"web","register","other","user_register","/register","App\Controller\User\UserController::register"
"web","roles","other","app_roles","/roles","App\Controller\User\RoleController::index"
"web","roles","other","app_roles_reorder","/roles/reorder","App\Controller\User\RoleController::reorder"
"web","root","read","app_home","/","App\Controller\Auth\AuthController::home"
"web","save_docx","other","app_save_docx","/save_docx","App\Controller\Document\DocumentCreateFromTemplateController::saveDocx"
"web","save_file_from_template_to_document","read","app_save_file_from_template_to_document","/save_file_from_template_to_document","App\Controller\Document\DocumentCreateFromTemplateController::saveFileFromTemplateToDocument"
"web","sign_and_save_document","read","app_sign_and_save_document","/sign_and_save_document/{id}","App\Controller\Document\DocumentSignController::signAndSaveDocument"
"web","sign_document","read","app_sign_document","/sign_document","App\Controller\Document\DocumentSignController::signDocument"
"web","trigger_forcesave","other","app_trigger_forcesave","/trigger_forcesave","App\Controller\Document\DocumentCreateFromTemplateController::triggerForcesave"
"web","user","other","app_view_user","/user/{id}","App\Controller\User\UserController::viewUser"
"web","user","other","app_user_avatar_original","/user/{id}/avatar/original","App\Controller\User\UserController::userAvatarOriginal"
"web","user","other","app_view_user_modal","/user/{id}/view-modal","App\Controller\User\UserController::viewUserModal"
"web","user","other","app_user_org_users","/user/organization-users/{id}","App\Controller\User\UserController::getOrganizationUsers"
"web","user","read","app_view_user_modal_document","/user/{id}/view-modal-document","App\Controller\User\UserController::viewUserModalForDocument"
"web","user","update","app_edit_user_photo","/user/{id}/edit-photo","App\Controller\User\UserController::editUserPhoto"
"web","user","update","app_update_user_photo","/user/{id}/update-photo","App\Controller\User\UserController::updateUserPhoto"
"web","user_delete","delete","app_delete_user","/user_delete/{id}","App\Controller\User\UserController::deleteUser"
"web","user_edit","update","app_edit_user","/user_edit/{id}","App\Controller\User\UserController::editUserPage"
"web","user_update","update","app_update_user","/user_update","App\Controller\User\UserController::editUser"
"web","users","other","app_all_users","/users","App\Controller\User\UserController::getAllUsers"
"web","users","search","app_users_search","/users/search","App\Controller\User\UserController::searchUsers"
"web","view_incoming_document","read","app_view_incoming_document","/view_incoming_document/{id}","App\Controller\Document\DocumentController::viewIncomingDocument"
"web","view_organization","other","view_organization","/view_organization/{id}","App\Controller\Organization\OrganizationController::viewOrganization"
"web","view_outgoing_document","read","app_view_outgoing_document","/view_outgoing_document/{id}","App\Controller\Document\DocumentController::viewOutgoingDocument"
